Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Unc. %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-2.95e-04,4.67e-05,15.83%,4.96%
FM0vsFM2,,-8.40e-05,4.02e-07,-8.43e-05,2.36e-05,28.00%,0.38%
FM0,1.72e-13,4.28e-04,2.51e-06,4.37e-04,5.59e-05,12.79%,2.03%
FM1,1.10e-13,1.76e-04,2.25e-06,1.77e-04,2.12e-05,11.98%,0.79%
FM2,9.44e-14,1.30e-04,1.57e-06,1.30e-04,2.44e-05,18.77%,0.39%
FM3,6.16e-14,5.55e-05,6.38e-07,5.33e-05,1.11e-05,20.83%,3.95%
FM4,1.96e-13,5.54e-04,7.98e-06,5.54e-04,4.22e-05,7.62%,0.01%
FM5,1.44e-13,2.95e-04,6.73e-06,3.00e-04,2.17e-05,7.23%,1.64%
FM7,8.71e-14,1.09e-04,1.44e-06,1.11e-04,1.55e-05,13.96%,1.79%
FM8,8.74e-14,1.10e-04,1.21e-06,1.09e-04,9.78e-06,8.97%,1.05%
FM9,2.66e-13,1.03e-03,1.32e-05,1.04e-03,5.14e-05,4.94%,0.95%
