Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Unc. %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-2.88e-04,3.39e-05,11.77%,2.47%
FM0vsFM2,,-8.40e-05,4.02e-07,-8.47e-05,1.65e-05,19.48%,0.85%
FM0,5.82e-12,4.28e-04,2.51e-06,4.33e-04,4.34e-05,10.02%,1.10%
FM1,9.10e-12,1.76e-04,2.25e-06,1.76e-04,1.04e-05,5.91%,0.22%
FM2,1.06e-11,1.30e-04,1.57e-06,1.31e-04,1.77e-05,13.51%,1.16%
FM3,1.62e-11,5.55e-05,6.38e-07,5.52e-05,3.59e-06,6.50%,0.53%
FM4,5.11e-12,5.54e-04,7.98e-06,5.60e-04,2.45e-05,4.38%,1.08%
FM5,6.96e-12,2.95e-04,6.73e-06,3.01e-04,1.03e-05,3.42%,1.98%
FM7,1.15e-11,1.09e-04,1.44e-06,1.11e-04,6.73e-06,6.06%,1.79%
FM8,1.14e-11,1.10e-04,1.21e-06,1.11e-04,5.14e-06,4.63%,0.77%
FM9,3.76e-12,1.03e-03,1.32e-05,1.03e-03,5.83e-05,5.66%,0.02%
