Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Unc. %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-3.03e-04,2.78e-04,91.75%,7.81%
FM0vsFM2,,-8.40e-05,4.02e-07,-9.68e-05,1.28e-04,132.23%,15.26%
FM0,1.72e-13,4.28e-04,2.51e-06,4.47e-04,3.21e-04,71.81%,4.37%
FM1,1.10e-13,1.76e-04,2.25e-06,1.76e-04,1.07e-04,60.80%,0.22%
FM2,9.44e-14,1.30e-04,1.57e-06,1.50e-04,1.73e-04,115.33%,15.83%
FM3,6.16e-14,5.55e-05,6.38e-07,5.72e-05,4.21e-05,73.60%,3.08%
FM4,1.96e-13,5.54e-04,7.98e-06,5.57e-04,9.70e-05,17.41%,0.54%
FM5,1.44e-13,2.95e-04,6.73e-06,2.98e-04,6.31e-05,21.17%,0.97%
FM7,8.71e-14,1.09e-04,1.44e-06,1.09e-04,4.34e-05,39.82%,0.05%
FM8,8.74e-14,1.10e-04,1.21e-06,1.05e-04,3.60e-05,34.29%,4.68%
FM9,2.66e-13,1.03e-03,1.32e-05,1.04e-03,1.15e-04,11.06%,0.95%
