Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Unc. %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-2.87e-04,8.05e-05,28.05%,2.12%
FM0vsFM2,,-8.40e-05,4.02e-07,-8.07e-05,2.50e-05,30.98%,3.91%
FM0vsFS0,,-2.74e-07,1.36e-08,-2.72e-07,4.48e-07,164.71%,0.86%
FM0vsFS1,,2.56e-06,5.68e-08,2.53e-06,1.37e-06,54.15%,1.19%
FM0,5.82e-12,4.28e-04,2.51e-06,4.25e-04,9.70e-05,22.82%,0.77%
FM1,9.10e-12,1.76e-04,2.25e-06,1.79e-04,2.80e-05,15.64%,1.93%
FM2,1.06e-11,1.30e-04,1.57e-06,1.25e-04,2.99e-05,23.92%,3.48%
FM3,1.62e-11,5.55e-05,6.38e-07,5.49e-05,8.04e-06,14.64%,1.07%
FM4,5.11e-12,5.54e-04,7.98e-06,5.61e-04,7.37e-05,13.14%,1.26%
FM5,6.96e-12,2.95e-04,6.73e-06,2.98e-04,3.11e-05,10.44%,0.97%
FM7,1.15e-11,1.09e-04,1.44e-06,1.11e-04,1.76e-05,15.86%,1.79%
FM8,1.14e-11,1.10e-04,1.21e-06,1.11e-04,1.28e-05,11.53%,0.77%
FM9,3.76e-12,1.03e-03,1.32e-05,1.03e-03,1.51e-04,14.66%,0.02%
FS0,2.35e-11,2.62e-05,3.38e-07,2.64e-05,2.53e-06,9.58%,0.75%
FS1,3.48e-11,1.17e-05,1.73e-07,1.20e-05,1.76e-06,14.67%,2.67%
FS2,2.34e-11,2.62e-05,3.38e-07,2.64e-05,2.53e-06,9.58%,0.75%
