Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Unc. %,Rel diff in % σ rwg
FS0,2.35e-11,2.62e-05,3.38e-07,2.57e-05,3.92e-06,15.25%,1.92%
FS1,3.48e-11,1.17e-05,1.73e-07,1.16e-05,2.19e-06,18.88%,0.76%
FS2,2.34e-11,2.62e-05,3.38e-07,2.57e-05,3.92e-06,15.25%,1.92%
FT0,6.68e-13,3.30e-02,3.40e-04,3.36e-02,3.97e-03,11.82%,1.94%
FT1,4.35e-13,7.65e-02,8.04e-04,7.86e-02,7.96e-03,10.13%,2.75%
FT2,1.27e-12,9.00e-03,9.07e-05,9.25e-03,7.24e-04,7.83%,2.78%
FT3,9.39e-13,1.65e-02,3.48e-04,1.68e-02,1.82e-03,10.83%,2.02%
FT4,3.14e-12,1.47e-03,1.04e-05,1.51e-03,1.93e-04,12.78%,2.70%
FT5,1.64e-12,5.40e-03,7.82e-05,5.62e-03,8.47e-04,15.07%,4.06%
FT6,1.58e-12,5.72e-03,1.09e-04,5.93e-03,8.18e-04,13.79%,3.74%
FT7,3.85e-12,9.66e-04,1.18e-05,1.01e-03,1.05e-04,10.40%,4.55%
