Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Unc. %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-2.85e-04,6.28e-05,22.04%,1.40%
FM0vsFM2,,-8.40e-05,4.02e-07,-8.84e-05,4.28e-05,48.42%,5.26%
FM0vsFT0,,2.30e-05,4.44e-06,2.17e-05,9.10e-06,41.94%,5.84%
FM0vsFT1,,2.33e-05,1.05e-06,2.15e-05,1.80e-05,83.72%,7.90%
FM0,5.82e-12,4.28e-04,2.51e-06,4.36e-04,8.59e-05,19.70%,1.80%
FM1,9.10e-12,1.76e-04,2.25e-06,1.75e-04,2.41e-05,13.77%,0.35%
FM2,1.06e-11,1.30e-04,1.57e-06,1.36e-04,4.51e-05,33.16%,5.02%
FM3,1.62e-11,5.55e-05,6.38e-07,5.49e-05,1.05e-05,19.13%,1.07%
FM4,5.11e-12,5.54e-04,7.98e-06,5.60e-04,4.63e-05,8.27%,1.08%
FM5,6.96e-12,2.95e-04,6.73e-06,3.00e-04,2.73e-05,9.10%,1.64%
FM7,1.15e-11,1.09e-04,1.44e-06,1.11e-04,8.42e-06,7.59%,1.79%
FM8,1.14e-11,1.10e-04,1.21e-06,1.11e-04,1.19e-05,10.72%,0.77%
FM9,3.76e-12,1.03e-03,1.32e-05,1.03e-03,1.24e-04,12.04%,0.02%
FT0,6.68e-13,3.30e-02,3.40e-04,3.26e-02,3.36e-03,10.31%,1.10%
FT1,4.35e-13,7.65e-02,8.04e-04,7.68e-02,6.19e-03,8.06%,0.40%
FT2,1.27e-12,9.00e-03,9.07e-05,8.95e-03,5.25e-04,5.87%,0.55%
FT3,9.39e-13,1.65e-02,3.48e-04,1.65e-02,1.43e-03,8.67%,0.20%
FT4,3.14e-12,1.47e-03,1.04e-05,1.48e-03,1.33e-04,8.99%,0.66%
FT5,1.64e-12,5.40e-03,7.82e-05,5.45e-03,7.23e-04,13.27%,0.91%
FT6,1.58e-12,5.72e-03,1.09e-04,5.84e-03,5.70e-04,9.76%,2.16%
FT7,3.85e-12,9.66e-04,1.18e-05,9.91e-04,7.26e-05,7.33%,2.58%
