Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Unc. %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-2.74e-04,9.63e-05,35.15%,2.51%
FM0vsFM2,,-8.40e-05,4.02e-07,-8.91e-05,1.80e-04,202.02%,6.09%
FM0vsFT0,,2.30e-05,4.44e-06,2.13e-05,1.26e-05,59.15%,7.58%
FM0vsFT1,,2.33e-05,1.05e-06,2.43e-05,2.61e-05,107.41%,4.10%
FM0,1.00e-12,4.28e-04,2.51e-06,4.18e-04,1.38e-04,33.01%,2.40%
FM1,1.00e-12,1.76e-04,2.25e-06,1.82e-04,5.81e-05,31.92%,3.64%
FM2,1.00e-12,1.30e-04,1.57e-06,1.36e-04,1.68e-04,123.53%,5.02%
FM3,1.00e-12,5.55e-05,6.38e-07,6.18e-05,3.88e-05,62.78%,11.37%
FM4,1.00e-12,5.54e-04,7.98e-06,5.43e-04,1.61e-04,29.65%,1.99%
FM5,1.00e-12,2.95e-04,6.73e-06,3.06e-04,1.06e-04,34.64%,3.68%
FM7,1.00e-12,1.09e-04,1.44e-06,1.13e-04,2.15e-05,19.03%,3.62%
FM8,1.00e-12,1.10e-04,1.21e-06,1.17e-04,5.63e-05,48.12%,6.21%
FM9,1.00e-12,1.03e-03,1.32e-05,1.02e-03,2.39e-04,23.43%,0.99%
FT0,1.00e-12,3.30e-02,3.40e-04,3.26e-02,3.97e-03,12.18%,1.10%
FT1,1.00e-12,7.65e-02,8.04e-04,7.66e-02,4.63e-03,6.04%,0.14%
FT2,1.00e-12,9.00e-03,9.07e-05,8.98e-03,4.04e-04,4.50%,0.22%
FT3,1.00e-12,1.65e-02,3.48e-04,1.64e-02,1.16e-03,7.07%,0.41%
FT4,1.00e-12,1.47e-03,1.04e-05,1.44e-03,4.49e-04,31.18%,2.06%
FT5,1.00e-12,5.40e-03,7.82e-05,5.34e-03,1.81e-03,33.90%,1.12%
FT6,1.00e-12,5.72e-03,1.09e-04,5.64e-03,1.87e-03,33.16%,1.34%
FT7,1.00e-12,9.66e-04,1.18e-05,9.66e-04,2.47e-04,25.57%,0.01%
