Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Uncertainty %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-2.93e-04,5.64e-05,19.25,4.25
FM0vsFM2,,-8.40e-05,4.02e-07,-8.22e-05,2.60e-05,31.63,2.12
FM0,1.00e-12,4.28e-04,2.51e-06,4.38e-04,6.66e-05,15.21,2.26
FM1,1.00e-12,1.76e-04,2.25e-06,1.80e-04,2.03e-05,11.28,2.50
FM2,1.00e-12,1.30e-04,1.57e-06,1.30e-04,2.71e-05,20.85,0.39
FM3,1.00e-12,5.55e-05,6.38e-07,5.60e-05,9.18e-06,16.39,0.92
FM4,1.00e-12,5.54e-04,7.98e-06,5.58e-04,3.64e-05,6.52,0.72
FM5,1.00e-12,2.95e-04,6.73e-06,3.04e-04,1.80e-05,5.92,3.00
FM7,1.00e-12,1.09e-04,1.44e-06,1.11e-04,1.22e-05,10.99,1.79
FM8,1.00e-12,1.10e-04,1.21e-06,1.11e-04,9.16e-06,8.25,0.77
FM9,1.00e-12,1.03e-03,1.32e-05,1.05e-03,7.51e-05,7.15,1.92
