Operator,Param original,σ bef decay,Unc. σ bef decay,σ Rwg ,Unc. σ Rwg,Rel Rwg Uncertainty %,Rel diff in % σ rwg
FM0vsFM1,,-2.81e-04,1.18e-06,-2.60e-04,3.35e-04,128.85,7.49
FM0vsFM2,,-8.40e-05,4.02e-07,-6.02e-05,1.43e-04,237.54,28.32
FM0,1.00e-12,4.28e-04,2.51e-06,3.83e-04,3.65e-04,95.30,10.58
FM1,1.00e-12,1.76e-04,2.25e-06,2.32e-04,5.39e-04,232.33,32.11
FM2,1.00e-12,1.30e-04,1.57e-06,1.35e-04,1.78e-04,131.85,4.25
FM3,1.00e-12,5.55e-05,6.38e-07,5.68e-05,4.09e-05,72.01,2.36
FM4,1.00e-12,5.54e-04,7.98e-06,5.42e-04,1.14e-04,21.03,2.17
FM5,1.00e-12,2.95e-04,6.73e-06,2.82e-04,1.46e-04,51.77,4.45
FM7,1.00e-12,1.09e-04,1.44e-06,1.26e-04,1.68e-04,133.33,15.54
FM8,1.00e-12,1.10e-04,1.21e-06,1.04e-04,3.54e-05,34.04,5.59
FM9,1.00e-12,1.03e-03,1.32e-05,9.27e-04,7.93e-04,85.54,10.02
