process_decay,operator,unpolarised_xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac
WZ_lllv,FM0,0.016392173603582392,0.47,48.163,51.073,0.294
WZ_lllv,FM1,0.006595763930654259,0.189,49.095,50.319,0.398
WZ_lllv,FM1odd,0.005091065335824708,0.16,99.597,0.001,0.242
WZ_lllv,FM2,0.005098356573544107,0.409,99.347,0.002,0.242
WZ_lllv,FM2odd,0.02017654646943701,82.936,8.894,6.998,1.173
WZ_lllv,FM3,0.002145620788077198,0.183,99.495,0.002,0.32
WZ_lllv,FM3odd,0.0041043707059089,46.973,33.452,18.71,0.865
WZ_lllv,FM4,0.020362072023270877,83.158,8.632,7.051,1.16
WZ_lllv,FM4odd,0.01230280869312298,50.015,29.618,19.539,0.829
WZ_lllv,FM5,0.01117953112867783,52.43,25.612,21.152,0.806
WZ_lllv,FM5odd,0.06477730764422307,0.131,48.623,50.941,0.304
WZ_lllv,FM6odd,0.037847559313074534,75.704,9.317,14.047,0.932
WZ_lllv,FM7,0.004019316450747569,45.288,25.23,28.833,0.649
WZ_lllv,FM8,0.004120982131479697,47.238,32.863,18.945,0.954
WZ_lllv,FM9,0.03796105795898234,21.326,19.803,57.961,0.91
WZ_lllv,FS0,0.0009577422358499612,99.664,0.186,0.146,0.005
WZ_lllv,FS1,0.0004342718381183891,99.101,0.505,0.391,0.003
WZ_lllv,FS2,0.0009577422358499612,99.664,0.186,0.146,0.005
WZ_lllv,FT0,1.15904661784355,0.001,0.137,0.184,99.678
WZ_lllv,FT1,2.647732031464742,0.001,0.045,0.055,99.9
WZ_lllv,FT2,0.3130872484018163,0.001,0.067,0.087,99.846
WZ_lllv,FT2odd,0.7533047195887905,0.0,0.115,0.12,99.765
WZ_lllv,FT3,0.5715465915385333,0.001,0.056,0.069,99.874
WZ_lllv,FT3odd,0.7541601840860548,0.0,0.11,0.166,99.724
WZ_lllv,FT4,0.053928420520685694,0.001,0.08,0.1,99.819
WZ_lllv,FT4odd,0.47078296687051463,0.0,0.063,0.086,99.851
WZ_lllv,FT5,0.19292507147837307,0.0,0.116,0.16,99.724
WZ_lllv,FT5odd,13.184059396165011,0.0,0.096,0.125,99.778
WZ_lllv,FT6,0.21342123827517775,0.001,0.069,0.086,99.844
WZ_lllv,FT6odd,26.822366216194858,0.0,0.04,0.05,99.909
ZZ_llll,FM0,0.02972999785228927,95.184,3.899,,0.917
ZZ_llll,FM1,0.002343389376146213,80.757,18.341,,0.902
ZZ_llll,FM1odd,0.01490178924370787,94.596,4.806,,0.598
ZZ_llll,FM2,0.014735234439831725,94.446,4.939,,0.615
ZZ_llll,FM2odd,0.002066080918758443,81.029,15.26,,3.711
ZZ_llll,FM3,0.0012054714395688879,75.807,23.599,,0.594
ZZ_llll,FM3odd,7.178625849801762e-05,0.078,99.003,,0.919
ZZ_llll,FM4,0.002053072066139296,79.972,16.25,,3.778
ZZ_llll,FM4odd,0.0011723964147363165,48.665,49.58,,1.756
ZZ_llll,FM5,0.0010723185532966776,50.13,47.693,,2.177
ZZ_llll,FM5odd,0.11567848789205319,95.14,3.931,,0.929
ZZ_llll,FM6odd,0.0009817500374147332,0.098,99.457,,0.444
ZZ_llll,FM7,0.0006543604725112247,72.373,26.782,,0.845
ZZ_llll,FM8,7.375073840480567e-05,0.066,99.582,,0.352
ZZ_llll,FM9,0.003355314262112523,29.763,70.049,,0.188
ZZ_llll,FS0,0.00020557393341445038,99.609,0.376,,0.015
ZZ_llll,FS1,0.0003399372400164672,99.646,0.334,,0.02
ZZ_llll,FS2,0.00020557393341445038,99.609,0.376,,0.015
ZZ_llll,FT0,0.770032406794868,0.001,0.108,,99.891
ZZ_llll,FT1,0.48664636346676243,0.001,0.138,,99.861
ZZ_llll,FT2,0.11686988643239195,0.001,0.133,,99.866
ZZ_llll,FT2odd,0.4713407332930325,0.001,0.113,,99.886
ZZ_llll,FT3,0.10910018758337976,0.001,0.15,,99.849
ZZ_llll,FT3odd,0.47256340830569327,0.0,0.121,,99.878
ZZ_llll,FT4,0.014514275652319152,0.001,0.199,,99.8
ZZ_llll,FT4odd,0.11415347200255475,0.001,0.174,,99.826
ZZ_llll,FT5,0.12470632557083007,0.001,0.13,,99.869
ZZ_llll,FT5odd,7.643603870703757,0.0,0.098,,99.901
ZZ_llll,FT6,0.05135248233908731,0.001,0.205,,99.794
ZZ_llll,FT6odd,5.484737683586456,0.0,0.113,,99.887
ZZ_llll,FT8,0.1854241886486937,0.001,0.108,,99.891
ZZ_llll,FT9,0.040306959205260416,0.001,0.123,,99.877
Zy_lly,FM0,0.004555928704076279,,67.077,,32.923
Zy_lly,FM1,0.0013391803889212194,,91.468,,8.532
Zy_lly,FM1odd,0.02959535887720872,,79.767,,20.233
Zy_lly,FM2,0.02978863920566916,,79.768,,20.232
