process_decay,operator,unpolarised_xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac
WZ_lllv,FM0,0.016392173603582392,0.47,48.163,51.073,0.294
WZ_lllv,FM1,0.006595763930654259,0.189,49.095,50.319,0.398
WZ_lllv,FM1odd,0.005091065335824708,0.16,99.597,0.001,0.242
WZ_lllv,FM2,0.005098356573544107,0.409,99.347,0.002,0.242
WZ_lllv,FM2odd,0.02017654646943701,82.936,8.894,6.998,1.173
WZ_lllv,FM3,0.002145620788077198,0.183,99.495,0.002,0.32
WZ_lllv,FM3odd,0.0041043707059089,46.973,33.452,18.71,0.865
WZ_lllv,FM4,0.020362072023270877,83.158,8.632,7.051,1.16
WZ_lllv,FM4odd,0.01230280869312298,50.015,29.618,19.539,0.829
WZ_lllv,FM5,0.01117953112867783,52.43,25.612,21.152,0.806
WZ_lllv,FM5odd,0.06477730764422307,0.131,48.623,50.941,0.304
WZ_lllv,FM6odd,0.037847559313074534,75.704,9.317,14.047,0.932
WZ_lllv,FM7,0.004019316450747569,45.288,25.23,28.833,0.649
WZ_lllv,FM8,0.004120982131479697,47.238,32.863,18.945,0.954
WZ_lllv,FM9,0.03796105795898234,21.326,19.803,57.961,0.91
WZ_lllv,FS0,0.0009577422358499612,99.664,0.186,0.146,0.005
WZ_lllv,FS1,0.0004342718381183891,99.101,0.505,0.391,0.003
WZ_lllv,FS2,0.0009577422358499612,99.664,0.186,0.146,0.005
WZ_lllv,FT0,1.15904661784355,0.001,0.137,0.184,99.678
WZ_lllv,FT1,2.647732031464742,0.001,0.045,0.055,99.9
WZ_lllv,FT2,0.3130872484018163,0.001,0.067,0.087,99.846
WZ_lllv,FT2odd,0.7533047195887905,0.0,0.115,0.12,99.765
WZ_lllv,FT3,0.5715465915385333,0.001,0.056,0.069,99.874
WZ_lllv,FT3odd,0.7541601840860548,0.0,0.11,0.166,99.724
WZ_lllv,FT4,0.053928420520685694,0.001,0.08,0.1,99.819
WZ_lllv,FT4odd,0.47078296687051463,0.0,0.063,0.086,99.851
WZ_lllv,FT5,0.19292507147837307,0.0,0.116,0.16,99.724
WZ_lllv,FT5odd,13.184059396165011,0.0,0.096,0.125,99.778
WZ_lllv,FT6,0.21342123827517775,0.001,0.069,0.086,99.844
WZ_lllv,FT6odd,26.822366216194858,0.0,0.04,0.05,99.909
ZZ_llll,FM0,0.030888127028465474,91.615,3.753,3.749,0.883
ZZ_llll,FM1,0.0027899160617804613,67.832,15.405,16.005,0.758
ZZ_llll,FM1odd,0.015628919244193393,90.195,4.582,4.652,0.57
ZZ_llll,FM2,0.015464707492051552,89.991,4.706,4.717,0.586
ZZ_llll,FM2odd,0.0023837568540628403,70.231,13.226,13.327,3.216
ZZ_llll,FM3,0.0014981123894182982,60.999,18.989,19.534,0.478
ZZ_llll,FM3odd,0.00014170583268330352,0.04,50.154,49.341,0.466
ZZ_llll,FM4,0.002387711619089571,68.764,13.973,14.015,3.249
ZZ_llll,FM4odd,0.0017492262261532816,32.617,33.23,32.976,1.177
ZZ_llll,FM5,0.0015938901519222566,33.726,32.086,32.723,1.465
ZZ_llll,FM5odd,0.12024418121582382,91.527,3.782,3.797,0.894
ZZ_llll,FM6odd,0.0019579088855855285,0.049,49.871,49.857,0.223
ZZ_llll,FM7,0.0008315157001971263,56.954,21.076,21.305,0.665
ZZ_llll,FM8,0.0001470761077351118,0.033,49.935,49.855,0.177
ZZ_llll,FM9,0.005722827007725252,17.45,41.07,41.37,0.11
ZZ_llll,FS0,0.00020634489318960067,99.237,0.374,0.374,0.015
ZZ_llll,FS1,0.0003410654340492438,99.317,0.333,0.331,0.02
ZZ_llll,FS2,0.00020634489318960067,99.237,0.374,0.374,0.015
ZZ_llll,FT0,0.7708652802452829,0.001,0.108,0.108,99.783
ZZ_llll,FT1,0.48731838036647085,0.001,0.138,0.138,99.724
ZZ_llll,FT2,0.11702553298127082,0.001,0.133,0.133,99.733
ZZ_llll,FT2odd,0.47186985565031386,0.001,0.113,0.112,99.774
ZZ_llll,FT3,0.10926402840247254,0.001,0.15,0.15,99.699
ZZ_llll,FT3odd,0.47312869176637073,0.0,0.121,0.119,99.759
ZZ_llll,FT4,0.014542764029246886,0.001,0.198,0.196,99.605
ZZ_llll,FT4odd,0.11435055919692155,0.001,0.173,0.172,99.654
ZZ_llll,FT5,0.12486864237539985,0.001,0.13,0.13,99.739
ZZ_llll,FT5odd,7.651114241305401,0.0,0.098,0.098,99.803
ZZ_llll,FT6,0.05145711507127626,0.001,0.205,0.203,99.591
ZZ_llll,FT6odd,5.490904576724727,0.0,0.113,0.112,99.775
ZZ_llll,FT1odd,0.12817770379076382,0.0,0.097,0.097,99.805
Zy_lly,FM0,0.004555928704076279,,67.077,,32.923
Zy_lly,FM1,0.0013391803889212194,,91.468,,8.532
