process_decay,operator,unpolarised_xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac
WZ_lllv,FM1odd,0.005091065335824708,0.16,99.597,0.001,0.242
WZ_lllv,FM2odd,0.02017654646943701,82.936,8.894,6.998,1.173
WZ_lllv,FM3odd,0.0041043707059089,46.973,33.452,18.71,0.865
WZ_lllv,FM4odd,0.01230280869312298,50.015,29.618,19.539,0.829
WZ_lllv,FM5odd,0.06477730764422307,0.131,48.623,50.941,0.304
WZ_lllv,FM6odd,0.037847559313074534,75.704,9.317,14.047,0.932
ZZ_llll,FM1odd,0.015628919244193393,90.195,4.582,4.652,0.57
ZZ_llll,FM2odd,0.0023837568540628403,70.231,13.226,13.327,3.216
ZZ_llll,FM3odd,0.00014170583268330352,0.04,50.154,49.341,0.466
ZZ_llll,FM4odd,0.0017492262261532816,32.617,33.23,32.976,1.177
ZZ_llll,FM5odd,0.12024418121582382,91.527,3.782,3.797,0.894
ZZ_llll,FM6odd,0.0019579088855855285,0.049,49.871,49.857,0.223
Zy_lly,FM1odd,0.02959535887720872,,79.767,,20.233
Zy_lly,FM2odd,0.010126453215242885,,93.244,,6.756
Zy_lly,FM3odd,0.003098062464619532,,94.774,,5.226
Zy_lly,FM4odd,0.009655120692192069,,96.735,,3.265
Zy_lly,FM5odd,0.018275971064420166,,67.379,,32.621
Zy_lly,FM6odd,0.0033449536132137314,,99.308,,0.692
osWW_lvlv,FM1odd,0.2942933147312,99.312,0.065,0.078,0.003
osWW_lvlv,FM2odd,0.0390295832454272,88.621,5.4,6.233,0.027
osWW_lvlv,FM3odd,0.0053232786120064,53.239,20.743,26.67,0.226
osWW_lvlv,FM4odd,0.0186251885882176,62.238,18.35,20.551,0.049
osWW_lvlv,FM5odd,2.55,92.622,2.244,2.91,1.496
osWW_lvlv,FM6odd,0.06815,54.75,39.406,4.777,1.108
ssWW_lvlv,FM5odd,0.2621870588982616,0.035,49.826,50.041,0.098
ssWW_lvlv,FM6odd,0.03486133168966825,0.029,49.614,50.227,0.131
