process_decay,operator,xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac,acc_unpolarised,acc_LL,acc_LT,acc_TL,acc_TT
WZ_llqq,FM0,0.0337143760250364,0.3,41.033,58.339,0.245,10.963,6.707,9.4,12.454,9.067
WZ_llqq,FM1,0.013557619245252357,0.13,52.122,47.457,0.308,12.86,8.512,13.601,12.176,9.948
WZ_llqq,FM1odd,0.010579511114884591,0.199,99.62,0.001,0.178,9.408,12.25,9.409,7.45,7.162
WZ_llqq,FM2,0.010553780406886003,0.362,99.417,0.001,0.221,9.085,6.685,9.099,4.315,8.469
WZ_llqq,FM2odd,0.041518846193115334,87.809,5.512,5.553,1.117,15.087,15.938,9.599,11.885,14.485
WZ_llqq,FM3,0.004408467106510997,0.132,99.651,0.001,0.218,12.916,8.15,12.939,4.492,8.948
WZ_llqq,FM3odd,0.008462707482464594,46.854,32.517,19.905,0.723,12.938,12.863,12.703,13.624,11.001
WZ_llqq,FM4,0.04205660056890333,87.978,5.613,5.269,1.134,15.152,16.048,9.841,11.188,14.888
WZ_llqq,FM4odd,0.025312026377677214,56.15,28.0,15.111,0.728,14.53,16.222,13.951,11.135,12.83
WZ_llqq,FM5,0.023088839256612807,57.02,24.838,17.382,0.769,14.206,15.479,13.718,11.676,13.628
WZ_llqq,FM5odd,0.13355407676006106,0.153,42.065,57.561,0.215,11.285,13.742,9.708,12.818,8.075
WZ_llqq,FM6odd,0.07753845374017475,76.567,8.498,14.246,0.692,14.519,14.583,14.182,14.609,11.004
WZ_llqq,FM7,0.008256467009985773,48.0,25.282,26.249,0.489,13.909,14.782,13.846,12.682,10.521
WZ_llqq,FM8,0.00855695549527405,47.927,32.149,19.156,0.768,13.283,13.497,12.982,13.396,10.846
WZ_llqq,FM9,0.07811231610637506,20.216,23.62,55.367,0.795,13.432,12.67,15.947,12.876,11.695
WZ_llqq,FS0,0.001969137229477161,99.782,0.118,0.096,0.005,17.612,17.635,11.165,11.517,6.16
WZ_llqq,FS1,0.0008916583865043833,99.362,0.36,0.277,0.003,16.106,16.149,11.517,11.359,5.648
WZ_llqq,FS2,0.001969137229477161,99.782,0.118,0.096,0.005,17.612,17.635,11.165,11.517,6.16
WZ_llqq,FT0,2.4115573091403166,0.0,0.115,0.149,99.736,11.813,8.288,10.002,9.734,11.819
WZ_llqq,FT1,5.427828005547412,0.0,0.033,0.042,99.925,14.634,10.947,10.932,11.02,14.638
WZ_llqq,FT2,0.6439579614760382,0.0,0.047,0.062,99.89,14.139,10.213,9.943,10.061,14.145
WZ_llqq,FT2odd,1.5550837731432532,0.0,0.111,0.124,99.764,11.483,9.846,11.098,11.98,11.483
WZ_llqq,FT3,1.1701844744777457,0.0,0.044,0.057,99.898,14.315,10.213,11.356,11.763,14.318
WZ_llqq,FT3odd,1.55694801938805,0.0,0.119,0.14,99.74,11.474,9.827,12.543,9.411,11.476
WZ_llqq,FT4,0.1091562628447886,0.001,0.069,0.095,99.835,12.336,9.033,10.661,11.39,12.339
WZ_llqq,FT4odd,0.9474351946736344,0.0,0.057,0.069,99.874,12.499,9.892,11.021,9.85,12.502
WZ_llqq,FT5,0.4099989027336719,0.0,0.103,0.142,99.754,11.562,10.529,10.71,10.69,11.564
WZ_llqq,FT5odd,27.31333188437141,0.0,0.096,0.118,99.785,12.286,10.712,12.35,11.545,12.287
WZ_llqq,FT6,0.4327074174206062,0.001,0.055,0.072,99.872,12.546,8.499,10.115,10.214,12.55
WZ_llqq,FT6odd,54.80023586332312,0.0,0.036,0.041,99.923,14.325,12.043,12.59,11.773,14.327
WZ_vvqq,FM0,0.06970215041503595,0.313,46.45,52.783,0.249,27.62,17.779,26.668,28.525,23.135
WZ_vvqq,FM1,0.02782568965703748,0.144,56.415,43.652,0.315,31.285,22.826,35.922,27.166,24.767
WZ_vvqq,FM1odd,0.021674051936791384,0.134,99.681,0.001,0.179,26.621,27.5,26.633,13.549,20.329
WZ_vvqq,FM2,0.021603900212656242,0.317,99.444,0.001,0.23,25.512,16.398,25.558,14.818,24.686
WZ_vvqq,FM2odd,0.08522306730857476,86.51,6.64,5.525,1.139,34.967,36.397,26.569,27.677,34.027
WZ_vvqq,FM3,0.009056199800308883,0.122,99.634,0.001,0.239,33.124,19.461,33.177,11.236,25.102
WZ_vvqq,FM3odd,0.017327611271685823,45.892,34.767,18.606,0.746,31.587,30.814,33.01,31.212,27.404
WZ_vvqq,FM4,0.08637640750812528,86.38,6.526,5.688,1.186,34.871,36.263,26.355,27.756,35.819
WZ_vvqq,FM4odd,0.05186723581246932,52.455,30.704,15.968,0.745,34.552,36.092,36.037,28.271,31.065
WZ_vvqq,FM5,0.04735624685054526,55.169,26.752,17.192,0.809,33.759,35.545,35.277,27.382,33.89
WZ_vvqq,FM5odd,0.2746975281356038,0.136,46.406,53.047,0.213,28.957,33.666,27.57,30.212,20.744
WZ_vvqq,FM6odd,0.1598592207940047,75.562,9.116,14.593,0.75,32.936,32.675,34.272,33.957,26.928
WZ_vvqq,FM7,0.016935806555821345,45.316,28.218,26.034,0.554,31.936,32.003,35.683,28.798,27.144
WZ_vvqq,FM8,0.017549894938006655,46.313,33.878,18.95,0.864,31.343,30.732,32.406,31.176,28.563
