process_decay,operator,unpolarised_xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac
WZ_llqq,FM1odd,0.010579511114884591,0.153,99.612,0.001,0.234
WZ_llqq,FM2odd,0.041518846193115334,83.124,8.664,7.049,1.163
WZ_llqq,FM3odd,0.008462707482464594,47.127,33.12,18.903,0.85
WZ_llqq,FM4odd,0.025312026377677214,50.294,29.163,19.718,0.824
WZ_llqq,FM5odd,0.13355407676006106,0.125,48.898,50.676,0.3
WZ_llqq,FM6odd,0.07753845374017475,76.23,8.7,14.158,0.912
WZ_vvqq,FM1odd,0.021674051936791384,0.13,99.634,0.001,0.234
WZ_vvqq,FM2odd,0.08522306730857476,83.111,8.739,6.98,1.17
WZ_vvqq,FM3odd,0.017327611271685823,47.043,33.268,18.829,0.86
WZ_vvqq,FM4odd,0.05186723581246932,50.217,29.439,19.515,0.828
WZ_vvqq,FM5odd,0.2746975281356038,0.117,48.741,50.845,0.298
WZ_vvqq,FM6odd,0.1598592207940047,76.167,8.761,14.155,0.918
ZZ_llqq,FM1odd,0.10704541198614932,90.095,4.628,4.703,0.574
ZZ_llqq,FM2odd,0.016271891711997676,69.862,13.361,13.536,3.241
ZZ_llqq,FM3odd,0.0009686936055882315,0.031,49.375,50.29,0.304
ZZ_llqq,FM4odd,0.012082786061563773,31.775,33.552,33.496,1.177
ZZ_llqq,FM5odd,0.8313927368037185,91.545,3.78,3.784,0.891
ZZ_llqq,FM6odd,0.013563484272471348,0.021,49.394,50.418,0.166
ZZ_vvqq,FM1odd,0.21181576249787845,90.09,4.628,4.707,0.575
ZZ_vvqq,FM2odd,0.03252241142126782,70.079,13.292,13.413,3.216
ZZ_vvqq,FM3odd,0.0019290602976308072,0.031,49.579,50.017,0.373
ZZ_vvqq,FM4odd,0.023856788997681896,32.083,33.132,33.6,1.184
ZZ_vvqq,FM5odd,1.6455607185592027,91.537,3.784,3.786,0.892
ZZ_vvqq,FM6odd,0.027000082433706815,0.024,49.624,50.164,0.189
osWW_lvqq,FM1odd,0.6000598065363115,99.86,0.07,0.066,0.003
osWW_lvqq,FM2odd,0.08090887219532124,88.736,5.657,5.58,0.027
osWW_lvqq,FM3odd,0.01103964053038483,56.553,21.752,21.475,0.219
osWW_lvqq,FM4odd,0.03917134070666353,61.923,18.983,19.052,0.042
osWW_lvqq,FM5odd,5.2131172122736125,93.453,2.211,2.832,1.504
osWW_lvqq,FM6odd,0.1907263129757113,41.51,27.442,30.24,0.808
ssWW_lvqq,FM5odd,0.5407275413308202,0.035,49.897,49.97,0.098
ssWW_lvqq,FM6odd,0.0729235175994591,0.028,50.231,49.613,0.127
