process_decay,operator,xsec_fb,LL_pol_frac,LT_pol_frac,TL_pol_frac,TT_pol_frac,acc_unpolarised,acc_LL,acc_LT,acc_TL,acc_TT
WZ_lllv,FM0,0.016392173603582392,0.413,49.235,50.026,0.328,5.478,4.812,5.6,5.366,6.114
WZ_lllv,FM1,0.006595763930654259,0.206,50.042,49.234,0.517,5.51,6.014,5.616,5.391,7.158
WZ_lllv,FM1odd,0.005091065335824708,0.193,99.56,0.001,0.246,5.481,6.611,5.479,7.682,5.577
WZ_lllv,FM2,0.005098356573544107,0.401,99.343,0.002,0.254,5.199,5.096,5.199,4.458,5.451
WZ_lllv,FM2odd,0.02017654646943701,82.556,10.388,5.752,1.296,5.316,5.292,6.209,4.369,5.874
WZ_lllv,FM3,0.002145620788077198,0.221,99.394,0.002,0.383,5.118,6.169,5.112,3.716,6.137
WZ_lllv,FM3odd,0.0041043707059089,53.032,32.411,13.635,0.919,5.954,6.722,5.768,4.339,6.325
WZ_lllv,FM4,0.020362072023270877,83.261,9.111,6.254,1.374,5.316,5.322,5.611,4.715,6.299
WZ_lllv,FM4odd,0.01230280869312298,47.957,33.364,17.694,0.988,5.106,4.896,5.752,4.624,6.087
WZ_lllv,FM5,0.01117953112867783,50.045,29.109,19.811,1.048,4.984,4.757,5.664,4.668,6.483
WZ_lllv,FM5odd,0.06477730764422307,0.178,52.523,46.988,0.308,5.646,7.677,6.099,5.208,5.708
WZ_lllv,FM6odd,0.037847559313074534,78.756,10.352,10.039,0.826,6.604,6.871,7.337,4.72,5.853
WZ_lllv,FM7,0.004019316450747569,50.038,23.841,25.472,0.647,6.053,6.688,5.72,5.348,6.036
WZ_lllv,FM8,0.004120982131479697,52.363,31.528,15.057,1.049,5.649,6.262,5.42,4.49,6.211
WZ_lllv,FM9,0.03796105795898234,20.275,22.26,56.417,1.035,5.77,5.486,6.485,5.616,6.565
WZ_lllv,FS0,0.0009577422358499612,99.499,0.272,0.224,0.006,5.971,5.961,8.723,9.187,7.222
WZ_lllv,FS1,0.0004342718381183891,98.821,0.652,0.525,0.003,6.215,6.197,8.019,8.351,5.822
WZ_lllv,FS2,0.0009577422358499612,99.499,0.272,0.224,0.006,5.971,5.961,8.723,9.187,7.222
WZ_lllv,FT0,1.15904661784355,0.0,0.136,0.209,99.655,6.834,6.395,6.757,7.782,6.833
WZ_lllv,FT1,2.647732031464742,0.001,0.059,0.08,99.86,6.548,8.988,8.721,9.567,6.546
WZ_lllv,FT2,0.3130872484018163,0.001,0.076,0.11,99.813,6.574,8.553,7.481,8.354,6.572
WZ_lllv,FT2odd,0.7533047195887905,0.0,0.133,0.166,99.701,6.435,9.173,7.445,8.897,6.431
WZ_lllv,FT3,0.5715465915385333,0.001,0.072,0.096,99.831,6.633,8.945,8.531,9.231,6.631
WZ_lllv,FT3odd,0.7541601840860548,0.0,0.136,0.181,99.682,6.432,8.262,7.943,7.043,6.429
WZ_lllv,FT4,0.053928420520685694,0.001,0.103,0.142,99.756,6.041,7.96,7.752,8.524,6.037
WZ_lllv,FT4odd,0.47078296687051463,0.001,0.094,0.124,99.782,6.132,8.511,9.224,8.87,6.128
WZ_lllv,FT5,0.19292507147837307,0.0,0.131,0.203,99.666,5.909,6.71,6.648,7.523,5.906
WZ_lllv,FT5odd,13.184059396165011,0.0,0.109,0.152,99.739,6.99,9.142,7.912,8.494,6.987
WZ_lllv,FT6,0.21342123827517775,0.001,0.089,0.125,99.787,6.015,7.871,7.774,8.707,6.012
WZ_lllv,FT6odd,26.822366216194858,0.0,0.06,0.078,99.862,6.685,9.922,9.921,10.286,6.682
ZZ_llll,FM0,0.030888127028465474,97.584,2.052,2.01,0.658,16.048,17.093,8.774,8.603,11.955
ZZ_llll,FM1,0.0027899160617804613,79.85,12.566,11.739,0.651,13.712,16.141,11.184,10.057,11.779
ZZ_llll,FM1odd,0.015628919244193393,95.388,2.982,3.177,0.554,12.413,13.127,8.076,8.476,12.066
ZZ_llll,FM2,0.015464707492051552,95.477,3.161,3.001,0.553,12.501,13.263,8.398,7.952,11.8
ZZ_llll,FM2odd,0.0023837568540628403,80.767,9.94,10.256,3.459,11.22,12.903,8.432,8.635,12.066
ZZ_llll,FM3,0.0014981123894182982,69.12,17.586,16.09,0.473,11.534,13.07,10.682,9.501,11.407
ZZ_llll,FM3odd,0.00014170583268330352,0.018,48.476,51.014,0.475,10.805,4.814,10.444,11.172,11.018
ZZ_llll,FM4,0.002387711619089571,79.572,11.103,10.367,3.37,11.413,13.206,9.069,8.442,11.84
ZZ_llll,FM4odd,0.0017492262261532816,37.375,31.57,31.776,1.265,11.061,12.675,10.509,10.659,11.894
ZZ_llll,FM5,0.0015938901519222566,40.176,31.867,29.042,1.53,11.081,13.2,11.005,9.834,11.575
ZZ_llll,FM5odd,0.12024418121582382,97.541,2.021,2.089,0.666,16.272,17.341,8.694,8.952,12.126
ZZ_llll,FM6odd,0.0019579088855855285,0.016,48.498,51.277,0.153,11.239,3.747,10.929,11.559,7.713
ZZ_llll,FM7,0.0008315157001971263,68.742,18.71,16.68,0.557,13.378,16.147,11.876,10.474,11.218
ZZ_llll,FM8,0.0001470761077351118,0.016,51.67,48.203,0.108,11.272,5.503,11.664,10.899,6.879
ZZ_llll,FM9,0.005722827007725252,11.477,43.161,43.18,0.071,10.733,7.059,11.28,11.203,6.911
ZZ_llll,FS0,0.00020634489318960067,99.428,0.316,0.318,0.015,13.34,13.366,11.249,11.353,12.817
ZZ_llll,FS1,0.0003410654340492438,99.424,0.304,0.296,0.019,12.82,12.834,11.701,11.469,12.176
ZZ_llll,FS2,0.00020634489318960067,99.428,0.316,0.318,0.015,13.34,13.366,11.249,11.353,12.817
ZZ_llll,FT0,0.7708652802452829,0.001,0.076,0.077,99.889,16.273,14.077,11.502,11.546,16.29
ZZ_llll,FT1,0.48731838036647085,0.001,0.088,0.089,99.889,15.429,13.224,9.811,9.952,15.455
ZZ_llll,FT2,0.11702553298127082,0.001,0.087,0.088,99.885,15.836,13.372,10.36,10.469,15.86
ZZ_llll,FT2odd,0.47186985565031386,0.0,0.09,0.091,99.848,14.435,10.818,11.532,11.713,14.445
ZZ_llll,FT3,0.10926402840247254,0.001,0.093,0.095,99.885,15.631,12.899,9.723,9.918,15.661
ZZ_llll,FT3odd,0.47312869176637073,0.0,0.092,0.093,99.852,14.475,13.699,10.932,11.27,14.488
ZZ_llll,FT4,0.014542764029246886,0.001,0.138,0.138,99.802,13.376,10.035,9.324,9.444,13.402
ZZ_llll,FT4odd,0.11435055919692155,0.001,0.129,0.131,99.796,13.397,11.728,9.984,10.168,13.416
ZZ_llll,FT5,0.12486864237539985,0.001,0.097,0.095,99.854,14.25,10.926,10.593,10.39,14.267
ZZ_llll,FT5odd,7.651114241305401,0.0,0.076,0.076,99.877,15.857,14.851,12.212,12.339,15.869
ZZ_llll,FT6,0.05145711507127626,0.001,0.145,0.144,99.79,12.822,9.959,9.094,9.066,12.847
ZZ_llll,FT6odd,5.490904576724727,0.0,0.082,0.083,99.874,15.42,14.887,11.219,11.456,15.435
Zy_lly,FM0,0.004555928704076279,,67.866,,32.133,10.09,,10.208,,9.848
Zy_lly,FM1,0.0013391803889212194,,92.486,,7.514,11.345,,11.471,,9.991
Zy_lly,FM1odd,0.02959535887720872,,79.63,,20.37,9.75,,9.733,,9.816
Zy_lly,FM2,0.02978863920566916,,78.979,,21.019,9.459,,9.366,,9.827
